PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+ COMMAND
11798,cps,20,0,61556,8192,2800,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
11814,cps,20,0,61556,8184,2800,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
11897,openstac,20,0,237m,74m,3192,S,0,0.5, /usr/bin/python /usr/bin/cinder-api --config-file /etc/cinder/cinder-api.
11915,cps,20,0,1218m,54m,8196,S,0,0.3, /usr/lib/jre/bin/java -XX:-UseLargePages -Djava.net.preferIPv4Stack=true
11956,cps,20,0,65744,8368,2856,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
12000,openstac,20,0,363m,125m,3752,S,0,0.8, /usr/bin/python /usr/bin/nova-api --config-file=/etc/nova/nova-api.conf
12080,openstac,20,0,302m,68m,1348,S,0,0.4, /usr/bin/python /usr/bin/nova-api --config-file=/etc/nova/nova-api.conf
12689,openstac,20,0,206m,47m,5664,S,0,0.3, /usr/bin/python /usr/bin/heat-api
13000,openstac,20,0,206m,44m,1916,S,0,0.3, /usr/bin/python /usr/bin/heat-api
13004,openstac,20,0,206m,44m,1916,S,0,0.3, /usr/bin/python /usr/bin/heat-api
13005,openstac,20,0,206m,44m,1916,S,0,0.3, /usr/bin/python /usr/bin/heat-api
13110,openstac,20,0,206m,47m,5664,S,0,0.3, /usr/bin/python /usr/bin/heat-api-cfn
13138,openstac,20,0,160m,38m,3980,S,0,0.2, /usr/bin/python /usr/bin/glance-registry
13326,openstac,20,0,205m,47m,5848,S,0,0.3, /usr/bin/python /usr/bin/heat-api-cloudwatch
13331,cps,20,0,61556,8200,2808,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
13375,cps,20,0,65728,8364,2856,S,0,0.1, python /usr/lib64/python2.6/site-packages/FSComponentUtil/heartBeat.py ST
13495,openstac,20,0,160m,35m,828,S,0,0.2, /usr/bin/python /usr/bin/glance-registry
13516,openstac,20,0,192m,45m,1796,S,0,0.3, /usr/bin/python /usr/bin/glance-api
13519,openstac,20,0,192m,45m,1796,S,0,0.3, /usr/bin/python /usr/bin/glance-api
